City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Puerto Ayora,EC,77.0,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
1,Rikitea,PF,76.73,clear sky,-23.12,-134.97,Pension Maro'i
2,Los Llanos De Aridane,ES,68.0,broken clouds,28.66,-17.92,Valle Aridane
3,Port Alfred,ZA,71.44,few clouds,-33.59,26.89,The Halyards Hotel
4,Cape Town,ZA,73.0,few clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
5,Karachi,PK,73.4,haze,24.91,67.08,Hillside Homes
6,Bambous Virieux,MU,75.99,shower rain,-20.34,57.76,Casa Tia Villa
7,Bobon,PH,75.88,broken clouds,12.52,124.56,Binang and Cadio Resort
8,Saldanha,ZA,71.6,overcast clouds,-33.01,17.94,Blue Bay Lodge
10,Grand Gaube,MU,75.99,light rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
11,Chuy,UY,76.59,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
13,Makakilo City,US,73.4,light rain,21.35,-158.09,Marriott's Ko Olina Beach Club
14,Hilo,US,69.8,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
15,Bredasdorp,ZA,71.6,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
16,Hermanus,ZA,70.0,overcast clouds,-34.42,19.23,Misty Waves Boutique Hotel
17,Kapaa,US,71.6,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
18,East London,ZA,71.6,clear sky,-33.02,27.91,Tu Casa
19,Kawalu,ID,74.1,overcast clouds,-7.38,108.21,KOSAN UNGU UNSIK
20,Naze,JP,68.0,broken clouds,28.37,129.48,奄美ポートタワーホテル
21,Avarua,CK,77.0,light rain,-21.21,-159.78,Paradise Inn
22,Bintulu,MY,75.2,scattered clouds,3.17,113.03,900 Boutique INN
23,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
25,Cidreira,BR,73.83,scattered clouds,-30.18,-50.21,Hotel Castelo
27,Etah,IN,68.63,clear sky,27.63,78.67,Bhole BABA mandir
28,San Patricio,US,66.0,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
29,Diu,IN,74.97,broken clouds,20.71,70.98,Hotel Relax Inn
31,Ribeira Grande,PT,66.2,broken clouds,38.52,-28.7,Quinta da Meia Eira
32,Sompeta,IN,71.73,clear sky,18.93,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
33,Taoudenni,ML,76.73,clear sky,22.68,-3.98,
34,Doha,QA,69.8,clear sky,25.29,51.53,Doha Marriott Hotel
35,Hervey Bay,AU,69.01,clear sky,-25.3,152.85,Shelly Bay Resort
36,Qui Nhon,VN,71.92,overcast clouds,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
37,Yulara,AU,71.6,overcast clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
38,Carnarvon,AU,71.6,broken clouds,-24.87,113.63,Hospitality Carnarvon
39,Bengkulu,ID,75.43,moderate rain,-3.8,102.27,Grage Hotel Bengkulu
41,Gat,IL,66.0,clear sky,31.61,34.76,OlusHome
42,Kahului,US,70.0,clear sky,20.89,-156.47,Maui Seaside Hotel
43,Comodoro Rivadavia,AR,68.0,broken clouds,-45.87,-67.5,Austral Hotel
44,Elat,IL,73.4,clear sky,29.56,34.95,Club Hotel Eilat
45,Kruisfontein,ZA,70.0,few clouds,-34.0,24.73,Oyster Bay House Rental
47,Bukama,CD,76.19,moderate rain,-9.2,25.85,
49,Tocopilla,CL,71.56,few clouds,-22.09,-70.2,Hotel Galvarino
50,Moindou,NC,73.4,clear sky,-21.69,165.68,Gite de la RYAWA
51,Sirsaganj,IN,69.94,few clouds,27.05,78.7,Hotel Narsingh Plaza
52,Ambilobe,MG,76.64,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
53,Santa Cruz De Tenerife,ES,68.0,broken clouds,28.47,-16.25,Hotel Silken Atlántida Santa Cruz
54,Victoria,HK,66.99,broken clouds,22.29,114.16,Mini Hotel Central
56,Supe,PE,72.79,few clouds,-10.8,-77.73,Cabito Turismo Caral
59,Honiara,SB,75.2,scattered clouds,-9.43,159.95,Heritage Park Hotel
61,Haapiti,PF,75.2,moderate rain,-17.57,-149.87,Linareva Moorea Beach Resort
62,Port Elizabeth,ZA,69.8,broken clouds,-33.92,25.57,39 On Nile Guest House
65,Mahebourg,MU,75.2,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
66,Sanawad,IN,69.8,haze,22.18,76.07,Geeta shree
