City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
0,Bredasdorp,-34.53,20.04,51.8,93,0,3.36,ZA,clear sky,2020-12-18 03:38:58
1,Tombouctou,20.0,-3.0,65.23,25,0,6.35,ML,clear sky,2020-12-18 03:38:58
2,Albany,42.6,-73.97,19.4,78,90,11.41,US,overcast clouds,2020-12-18 03:38:59
3,Beringovskiy,63.05,179.32,21.63,97,100,21.81,RU,snow,2020-12-18 03:38:59
4,Longyearbyen,78.22,15.64,12.2,61,75,24.16,SJ,broken clouds,2020-12-18 03:35:25
5,Barrow,71.29,-156.79,-9.4,69,1,19.46,US,clear sky,2020-12-18 03:39:00
6,Constitucion,-35.33,-72.42,53.11,92,99,4.18,CL,overcast clouds,2020-12-18 03:39:00
7,Lucapa,-8.42,20.74,64.54,98,100,3.62,AO,overcast clouds,2020-12-18 03:39:00
8,Saint-Philippe,-21.36,55.77,77.0,78,90,5.82,RE,overcast clouds,2020-12-18 03:39:00
9,Haines Junction,60.75,-137.51,-4.0,83,100,2.91,CA,overcast clouds,2020-12-18 03:34:32
10,Puerto Ayora,-0.74,-90.35,71.01,95,15,1.01,EC,few clouds,2020-12-18 03:39:00
11,Hilo,19.73,-155.09,71.6,88,90,8.21,US,heavy intensity rain,2020-12-18 03:39:00
12,East London,-33.02,27.91,66.2,100,75,1.12,ZA,light rain,2020-12-18 03:38:13
13,Atuona,-9.8,-139.03,78.69,74,45,16.11,PF,scattered clouds,2020-12-18 03:39:01
14,Sao Miguel Do Araguaia,-13.28,-50.16,74.3,80,14,2.13,BR,light rain,2020-12-18 03:34:51
15,Guerrero Negro,27.98,-114.06,54.9,78,61,4.63,MX,broken clouds,2020-12-18 03:39:01
16,Marawi,8.0,124.29,73.0,96,100,5.99,PH,moderate rain,2020-12-18 03:39:01
17,Seoul,37.57,126.98,35.6,47,40,9.28,KR,scattered clouds,2020-12-18 03:36:12
18,Codrington,-38.27,141.97,60.44,55,25,11.81,AU,scattered clouds,2020-12-18 03:39:01
19,Saldanha,-33.01,17.94,57.2,76,0,8.05,ZA,clear sky,2020-12-18 03:39:02
20,Port Alfred,-33.59,26.89,68.0,83,93,1.99,ZA,light rain,2020-12-18 03:39:02
21,Cabo San Lucas,22.89,-109.91,66.2,59,40,9.17,MX,scattered clouds,2020-12-18 03:37:18
22,Bawku,11.06,-0.24,70.74,22,26,5.41,GH,scattered clouds,2020-12-18 03:39:02
23,Yagodnoye,62.55,149.67,-19.3,85,100,2.46,RU,overcast clouds,2020-12-18 03:39:02
24,Carnarvon,-24.87,113.63,78.8,74,0,16.11,AU,clear sky,2020-12-18 03:39:02
25,New Norfolk,-42.78,147.06,68.0,67,60,5.01,AU,broken clouds,2020-12-18 03:39:02
26,Jamestown,42.1,-79.24,21.99,92,90,6.93,US,overcast clouds,2020-12-18 03:34:31
