City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Chilliwack,49.17,-121.94,41.0,100,100,1.03,CA,2020-11-24 17:12:34
1,Lagoa,39.05,-27.98,57.31,63,46,18.05,PT,2020-11-24 17:15:57
2,Butaritari,3.07,172.79,81.37,79,8,14.9,KI,2020-11-24 17:15:57
3,Guane,22.2,-84.09,81.84,65,1,11.3,CU,2020-11-24 17:15:57
4,Kodiak,57.79,-152.41,39.2,64,1,3.36,US,2020-11-24 17:15:57
5,Fonte Boa,-2.5,-66.27,86.14,75,71,1.88,BR,2020-11-24 17:13:23
6,Novelda,38.38,-0.77,59.0,77,100,3.91,ES,2020-11-24 17:15:57
7,Ushuaia,-54.8,-68.3,44.6,70,75,18.34,AR,2020-11-24 17:15:58
8,Grindavik,63.84,-22.43,37.4,74,75,14.99,IS,2020-11-24 17:15:58
9,Arenillas,41.35,-2.85,43.54,62,100,6.55,ES,2020-11-24 17:15:58
10,Komsomolskiy,40.43,71.72,26.6,86,100,4.7,UZ,2020-11-24 17:15:58
11,Jiaojiang,28.68,121.44,55.99,88,100,3.53,CN,2020-11-24 17:15:58
12,Polis,35.04,32.43,60.8,67,40,5.82,CY,2020-11-24 17:15:59
13,Arraial Do Cabo,-22.97,-42.03,78.8,78,75,16.11,BR,2020-11-24 17:15:12
14,Geraldton,-28.77,114.6,69.8,73,0,18.34,AU,2020-11-24 17:15:59
15,Punta Arenas,-53.15,-70.92,51.8,50,75,23.04,CL,2020-11-24 17:14:45
16,Barrow,71.29,-156.79,10.4,85,90,14.99,US,2020-11-24 17:12:32
17,Barra Do Garcas,-15.89,-52.26,91.08,45,6,8.16,BR,2020-11-24 17:15:45
18,Vila,42.03,-8.16,53.01,85,91,10.0,PT,2020-11-24 17:16:00
19,Busselton,-33.65,115.33,55.99,87,23,1.99,AU,2020-11-24 17:16:00
20,Ribeira Grande,38.52,-28.7,59.0,58,40,11.41,PT,2020-11-24 17:16:00
21,Bredasdorp,-34.53,20.04,59.0,54,70,18.34,ZA,2020-11-24 17:16:00
22,Santa Cruz,-17.8,-63.17,96.8,39,20,14.99,BO,2020-11-24 17:14:03
23,Bengkulu,-3.8,102.27,75.54,91,100,4.7,ID,2020-11-24 17:16:01
24,Qaanaaq,77.48,-69.36,9.86,92,100,3.94,GL,2020-11-24 17:16:01
25,Nayoro,44.35,142.46,31.89,96,95,8.12,JP,2020-11-24 17:16:01
26,Shergarh,28.65,79.35,61.74,38,93,3.78,IN,2020-11-24 17:16:03
27,Sterling,39.01,-77.43,48.0,45,20,6.93,US,2020-11-24 17:16:03
28,Kupiskis,55.83,24.97,41.32,94,100,8.5,LT,2020-11-24 17:15:24
29,Rikitea,-23.12,-134.97,73.87,76,100,12.41,PF,2020-11-24 17:16:03
30,East London,-33.02,27.91,66.2,55,0,11.41,ZA,2020-11-24 17:16:03
31,Sikonge,-5.63,32.77,74.34,47,41,5.3,TZ,2020-11-24 17:16:03
32,Kirksville,40.19,-92.58,45.0,100,90,8.05,US,2020-11-24 17:11:53
33,Parbatipur,25.66,88.92,66.6,71,0,3.94,BD,2020-11-24 17:16:04
34,Constitucion,-35.33,-72.42,64.38,52,0,15.05,CL,2020-11-24 17:16:04
35,Thompson,55.74,-97.86,8.6,84,90,6.93,CA,2020-11-24 17:15:01
36,Davlekanovo,54.22,55.03,24.8,79,90,8.95,RU,2020-11-24 17:16:04
37,Lebu,-37.62,-73.65,61.12,67,41,11.88,CL,2020-11-24 17:16:05
38,Lorengau,-2.02,147.27,82.31,67,100,5.1,PG,2020-11-24 17:16:05
39,Cape Town,-33.93,18.42,64.0,58,75,12.75,ZA,2020-11-24 17:15:21
40,Ambon,-3.7,128.18,79.0,14,100,4.32,ID,2020-11-24 17:16:05
41,Suixi,33.89,116.77,39.16,77,2,1.77,CN,2020-11-24 17:16:05
42,Dikson,73.51,80.55,14.67,96,100,23.29,RU,2020-11-24 17:16:05
43,Jamestown,42.1,-79.24,37.99,69,90,3.36,US,2020-11-24 17:13:33
44,Portland,45.52,-122.68,45.0,81,90,2.17,US,2020-11-24 17:15:40
45,Hermanus,-34.42,19.23,59.0,66,63,3.0,ZA,2020-11-24 17:13:36
46,Nanga Eboko,4.68,12.37,78.82,51,99,1.83,CM,2020-11-24 17:16:06
47,Albany,42.6,-73.97,43.0,45,0,7.0,US,2020-11-24 17:14:47
48,Hobart,-42.88,147.33,62.6,63,27,10.29,AU,2020-11-24 17:12:15
49,Pemangkat,1.17,108.97,78.33,84,100,2.59,ID,2020-11-24 17:16:07
50,Krasnoselkup,65.7,82.47,6.53,95,94,10.25,RU,2020-11-24 17:16:07
51,Viedma,-40.81,-63.0,79.0,34,8,12.01,AR,2020-11-24 17:16:07
52,Namatanai,-3.67,152.43,80.2,78,100,9.24,PG,2020-11-24 17:16:07
53,Bathsheba,13.22,-59.52,86.0,66,40,19.46,BB,2020-11-24 17:16:07
54,Grootfontein,-19.57,18.12,86.07,28,90,3.74,NA,2020-11-24 17:16:08
55,Ilulissat,69.22,-51.1,17.6,44,20,28.86,GL,2020-11-24 17:16:08
56,Pisco,-13.7,-76.22,70.0,64,0,10.29,PE,2020-11-24 17:16:08
57,Baykit,61.67,96.37,8.11,92,99,1.86,RU,2020-11-24 17:11:22
58,Mahebourg,-20.41,57.7,75.2,88,75,12.75,MU,2020-11-24 17:16:09
59,Togur,58.36,82.83,10.56,96,20,3.36,RU,2020-11-24 17:16:10
60,Bairiki,1.33,172.98,80.6,78,20,10.29,KI,2020-11-24 17:16:10
61,Najran,17.49,44.13,69.8,43,0,8.05,SA,2020-11-24 17:16:11
62,Kununurra,-15.77,128.73,75.2,100,40,13.87,AU,2020-11-24 17:16:11
63,Humaita,-7.51,-63.02,98.35,39,22,4.88,BR,2020-11-24 17:16:11
64,Hirara,24.8,125.28,74.17,76,84,20.27,JP,2020-11-24 17:16:12
65,Saquarema,-22.92,-42.51,78.8,78,75,16.11,BR,2020-11-24 17:16:12
66,Sitka,57.05,-135.33,44.6,65,90,16.11,US,2020-11-24 17:16:12
67,Mataura,-46.19,168.86,43.0,94,0,2.35,NZ,2020-11-24 17:16:12
